timestamp,datetime,memory_percent,memory_available_gb,memory_used_gb,cpu_percent,disk_usage_percent,process_memory_mb,process_cpu_percent,network_bytes_sent,network_bytes_recv,network_packets_sent,network_packets_recv
1753664732.3406155,2025-07-27T20:05:32.340616,2.3,183.3096694946289,2.8447837829589844,0.0,62.7,1894.5703125,0.1,812,254027,6,4229
1753664762.477331,2025-07-27T20:06:02.477331,2.3,183.30963134765625,2.8448219299316406,0.2,62.7,1894.5703125,0.2,1171,242237,9,4001
1753664792.61454,2025-07-27T20:06:32.614540,2.3,183.30963134765625,2.8448219299316406,0.0,62.7,1894.5703125,0.2,716,240941,4,4011
1753664822.7512953,2025-07-27T20:07:02.751295,2.3,183.309326171875,2.8451271057128906,0.0,62.7,1894.9140625,0.2,1006,243362,9,4051
1753664852.8883655,2025-07-27T20:07:32.888366,2.3,183.30901336669922,2.845439910888672,0.0,62.7,1895.2578125,0.1,1159,233643,10,3890
1753664883.024795,2025-07-27T20:08:03.024795,2.3,183.30902099609375,2.8454322814941406,0.0,62.7,1895.2578125,0.2,752,231770,4,3843
1753664913.161619,2025-07-27T20:08:33.161619,2.3,183.30902099609375,2.8454322814941406,0.0,62.7,1895.2578125,0.2,584,243585,2,4041
1753664943.2989693,2025-07-27T20:09:03.298969,2.3,183.30878067016602,2.845672607421875,0.0,62.7,1895.2578125,0.2,3301,227725,18,3769
1753664973.4362307,2025-07-27T20:09:33.436231,2.3,183.3087921142578,2.845661163330078,0.0,62.7,1895.2578125,0.2,824,232944,6,3877
1753665003.572857,2025-07-27T20:10:03.572857,2.3,183.30885314941406,2.845600128173828,0.2,62.7,1895.2578125,0.2,990,227433,9,3786
1753665033.7094429,2025-07-27T20:10:33.709443,2.3,183.30885696411133,2.8455963134765625,0.2,62.7,1895.2578125,0.2,966,226568,9,3743
1753665063.8465054,2025-07-27T20:11:03.846505,2.3,183.30883407592773,2.8456192016601562,0.0,62.7,1895.2578125,0.2,758,218695,5,3640
1753665093.982986,2025-07-27T20:11:33.982986,2.3,183.308837890625,2.8456153869628906,0.0,62.7,1895.2578125,0.2,740,230748,4,3840
1753665124.1194723,2025-07-27T20:12:04.119472,2.3,183.3087158203125,2.845733642578125,0.0,62.7,1895.2578125,0.2,812,235631,5,3912
1753665154.2561078,2025-07-27T20:12:34.256108,2.3,183.30871963500977,2.845733642578125,0.0,62.7,1895.2578125,0.2,999,234482,6,3879
1753665184.3928068,2025-07-27T20:13:04.392807,2.3,183.30869674682617,2.8457565307617188,0.0,62.7,1895.2578125,0.2,954,233767,9,3887
1753665214.526131,2025-07-27T20:13:34.526131,2.3,183.30870056152344,2.845752716064453,0.0,62.7,1895.2578125,0.2,1164,231500,12,3858
1753665244.6626222,2025-07-27T20:14:04.662622,2.3,183.30870819091797,2.845745086669922,0.0,62.7,1895.2578125,0.2,894,242699,7,4007
1753665274.7997828,2025-07-27T20:14:34.799783,2.3,183.30855178833008,2.8459014892578125,0.2,62.7,1895.2578125,0.1,1149,233828,10,3896
1753665304.9364815,2025-07-27T20:15:04.936481,2.3,183.30855560302734,2.845897674560547,0.0,62.7,1895.2578125,0.2,5387,247266,44,4060
1753665335.073076,2025-07-27T20:15:35.073076,2.3,183.3086166381836,2.845836639404297,0.0,62.7,1895.2578125,0.2,806,228288,5,3804
1753665365.2102032,2025-07-27T20:16:05.210203,2.3,183.30863189697266,2.8458213806152344,0.0,62.7,1895.2578125,0.2,1012,235085,10,3886
1753665395.3468585,2025-07-27T20:16:35.346859,2.3,183.30863571166992,2.8458175659179688,0.0,62.7,1895.2578125,0.1,848,243948,6,4060
1753665425.4840572,2025-07-27T20:17:05.484057,2.3,183.30867385864258,2.8457794189453125,0.0,62.7,1895.2578125,0.2,716,244601,4,4072
1753665455.6098,2025-07-27T20:17:35.609800,2.3,183.30868530273438,2.8457679748535156,0.0,62.7,1895.2578125,0.1,901,237258,5,3949
