Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	LossPi	LossV	DeltaLossPi	DeltaLossV	Entropy	KL	ClipFrac	StopIter	Time
39	152.19322	118.88497	245.01596	-101.66603	613.6667	29.983742	0.1077224	30.020514	28.655071	160000	4.172325e-09	8526.386	-0.007777406	-384.4121	0.8662597	0.0150887165	0.104	49.0	64.77126717567444
40	132.35353	77.62391	198.53598	-22.072395	629.5	31.771996	7.841145	33.95083	-20.223314	164000	-3.695488e-09	5818.255	-0.004916101	-564.4385	0.85719836	0.005402703	0.0315	79.0	66.98545932769775
41	170.64186	127.985565	245.6148	-114.83927	591.0	37.144234	0.03624863	37.162457	36.948597	168000	5.39124e-08	11287.296	-0.0060901586	-118.18652	0.818062	0.004002828	0.054	79.0	68.77973175048828
42	142.36267	116.202354	232.33939	-47.065384	539.2857	39.21151	0.5282348	39.364048	35.54638	172000	4.2557716e-08	7091.9614	-0.004997413	-181.1582	0.86327416	0.0025676303	0.0295	79.0	70.79726934432983
43	145.76044	96.04496	219.19666	-62.607925	608.6667	41.76285	0.4542848	41.89624	38.526546	176000	6.2584875e-09	5556.7915	-0.0077662882	-147.08789	0.8608564	0.0069378773	0.04525	79.0	72.75942754745483
44	164.6807	88.53317	242.29016	-21.119614	651.5	44.233234	0.079506196	44.250862	43.148376	180000	-2.6106834e-08	4652.7197	-0.003960425	-193.81445	0.8300446	0.0028296886	0.02425	79.0	74.75151515007019
45	104.89474	157.97887	229.11972	-205.82115	645.8	44.787754	7.5918517	46.979855	-25.789118	184000	-1.001358e-08	9567.543	-0.0061040116	-4915.556	0.86439395	0.0056721126	0.06775	79.0	76.79676008224487
46	116.87719	110.51093	249.14429	-55.378826	631.0	35.043526	22.235268	49.948498	-42.77295	188000	6.556511e-09	7685.4966	-0.010272128	-1400.2412	0.85210526	0.008946782	0.1035	79.0	78.97056460380554
47	111.59986	127.30198	229.17238	-67.8442	630.3333	50.884186	0.06808191	50.908028	50.20688	192000	-1.2040139e-08	7719.8555	-0.0065795416	-1.4360352	0.88953817	0.0033907096	0.03225	79.0	80.86058211326599
48	192.97914	32.879116	246.20036	145.9903	599.1667	51.147076	0.0057733306	51.148994	51.06737	196000	-5.6385993e-08	2846.045	-0.005863575	-287.00366	0.82082444	0.010509916	0.0675	79.0	82.74963998794556
49	133.30849	83.31102	195.32419	-50.287468	648.5	54.350914	0.09073094	54.391716	53.711964	200000	-5.9604646e-09	4835.974	-0.004299137	-28.345215	0.8933744	0.0030946506	0.03775	79.0	84.98858690261841
